time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.025294,0,26,28,0,809.500000,1313.000000
2.035794,0,134,149,0,1820.000000,6782.000000
3.000294,0,1187,1285,0,2784.500000,61135.000000
4.000294,0,3183,3288,0,3784.500000,167164.500000
5.000294,0,5183,5292,2,4784.500000,273469.500000
6.000294,0,7171,7276,2,5784.500000,377227.500000
7.000294,0,9166,9273,2,6784.500000,481025.000000
8.000294,0,11161,11265,2,7784.500000,584400.000000
9.000294,0,13159,13267,2,8784.500000,688237.000000
10.000294,0,15154,15261,2,9784.500000,792523.000000
11.000294,0,17142,17249,2,10784.500000,894857.000000
12.000294,0,19141,19250,2,11784.500000,1000749.500000
13.000294,0,21133,21239,2,12784.500000,1103947.500000
14.000294,0,23118,23224,2,13784.500000,1206124.000000
15.000294,0,25115,25222,2,14784.500000,1309628.000000
16.000294,0,27115,27228,4,15784.500000,1416362.500000
17.000294,0,29107,29210,4,16784.500000,1520443.500000
18.000294,0,31100,31210,4,17784.500000,1624466.500000
19.000294,0,33093,33205,4,18784.500000,1728056.000000
20.000294,0,35093,35217,14,19784.500000,1835555.500000
21.000294,0,37083,37205,16,20784.500000,1940302.000000
22.000294,0,39083,39222,23,21784.500000,2046835.500000
23.000294,0,41083,41228,38,22784.500000,2154080.000000
24.000294,0,43043,43179,38,23784.500000,2254450.000000
25.000294,0,45019,45161,38,24784.500000,2355908.500000
26.000294,0,47018,47160,38,25784.500000,2461474.500000
27.000294,0,49012,49158,38,26784.500000,2565842.000000
28.000294,0,51012,51166,50,27784.500000,2674291.500000
29.000294,0,53006,53159,50,28784.500000,2777921.500000
30.000294,0,54999,55158,50,29784.500000,2881815.000000
31.000294,0,56990,57146,50,30784.500000,2986354.500000
32.000294,0,58990,59146,50,31784.500000,3092337.000000
33.000294,0,60979,61136,50,32784.500000,3195567.000000
34.000294,0,62973,63128,50,33784.500000,3299411.500000
35.000294,0,64958,65125,56,34784.500000,3403686.500000
36.000294,0,66958,67119,59,35784.500000,3510007.500000
37.000294,0,68924,69090,59,36784.500000,3611073.000000
38.000294,0,70924,71097,67,37784.500000,3718287.500000
39.000294,0,72911,73082,67,38784.500000,3821714.000000
40.000294,0,74910,75079,67,39784.500000,3926628.000000
41.000294,0,76896,77067,67,40784.500000,4029411.500000
