time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.068025,0,11,13,0,811.000000,1111.000000
2.079025,0,32,36,0,1822.000000,3233.000000
3.091025,0,65,67,0,2834.000000,6573.000000
4.000025,0,81,83,0,3743.000000,8190.000000
5.010025,0,109,112,0,4753.000000,11018.000000
6.021025,0,138,142,0,5764.000000,13947.000000
7.034025,0,190,197,0,6777.000000,19212.000000
8.044025,0,251,258,0,7787.000000,25376.000000
9.057025,0,343,354,0,8800.000000,34676.000000
10.074025,0,455,466,0,9817.000000,46019.000000
11.085025,0,546,555,0,10828.000000,55228.000000
12.001025,0,650,661,0,11744.000000,65764.000000
13.011025,0,730,736,0,12754.000000,73857.000000
14.028025,0,816,824,0,13771.000000,82571.000000
15.042025,0,875,881,0,14785.000000,88540.000000
16.052025,0,953,965,0,15795.000000,96453.000000
17.062025,0,1105,1117,0,16805.000000,111851.000000
18.072025,0,1248,1260,0,17815.000000,126348.000000
19.001025,0,1346,1358,0,18744.000000,136254.000000
20.008025,0,1496,1514,0,19751.000000,151454.000000
21.005025,0,1665,1682,0,20748.000000,168550.000000
22.015025,0,1838,1854,0,21758.000000,186044.000000
23.027025,0,2048,2074,0,22770.000000,207286.000000
24.040025,0,2316,2344,0,23783.000000,234431.000000
25.054025,0,2578,2615,0,24797.000000,260949.000000
26.000025,0,3002,3050,0,25743.000000,304192.000000
27.000025,0,3517,3575,0,26743.000000,356432.000000
28.000025,0,4128,4211,0,27743.000000,418700.000000
29.000025,0,5091,5195,1,28743.000000,519648.000000
30.000025,0,6091,6226,17,29743.000000,627006.000000
31.000025,0,7091,7502,270,30743.000000,737353.000000
32.000025,0,8091,8767,545,31743.000000,847694.000000
33.000025,0,9091,10008,784,32743.000000,957577.000000
34.000025,0,10091,11227,1003,33743.000000,1067651.000000
35.000025,0,11091,12315,1107,34743.000000,1177535.000000
36.000025,0,12091,13461,1249,35743.000000,1287502.000000
37.000025,0,13091,14579,1367,36743.000000,1397239.000000
38.000025,0,14046,15521,1398,37743.000000,1498217.000000
39.000025,0,14750,16218,1398,38743.000000,1569584.000000
40.000025,0,15367,16820,1398,39743.000000,1632096.000000
41.000025,0,15979,17444,1398,40743.000000,1694138.000000
42.001025,0,16612,18064,1398,41744.000000,1758285.000000
43.005025,0,17238,18706,1398,42748.000000,1821761.000000
44.000025,0,17859,19316,1398,43743.000000,1884630.000000
45.000025,0,18502,19982,1398,44743.000000,1949809.000000
46.000025,0,19402,20892,1398,45743.000000,2041894.000000
47.000025,0,20376,21884,1403,46743.000000,2144297.000000
48.000025,0,21369,22897,1429,47743.000000,2250734.000000
49.000025,0,22297,23822,1429,48743.000000,2345843.000000
50.000025,0,23245,24764,1429,49743.000000,2442887.000000
51.000025,0,24205,25742,1429,50743.000000,2542367.000000
52.000025,0,25036,26543,1429,51743.000000,2627850.000000
53.000025,0,25947,27508,1438,52743.000000,2722400.000000
54.000025,0,26947,28542,1479,53743.000000,2830961.000000
55.000025,0,27941,29553,1514,54743.000000,2938111.000000
56.000025,0,28875,30486,1514,55743.000000,3033771.000000
57.000025,0,29803,31420,1514,56743.000000,3128424.000000
58.000025,0,30763,32371,1515,57743.000000,3227579.000000
59.000025,0,31722,33339,1523,58743.000000,3327105.000000
60.000025,0,32706,34386,1560,59743.000000,3432064.000000
61.000025,0,33706,35427,1601,60743.000000,3541030.000000
62.000025,0,34706,36495,1683,61743.000000,3650318.000000
63.000025,0,35706,37504,1690,62743.000000,3757022.000000
64.000025,0,36686,38488,1692,63743.000000,3859749.000000
65.000025,0,37674,39471,1695,64743.000000,3962928.000000
66.000025,0,38660,40456,1695,65743.000000,4066452.000000
67.000025,0,39598,41398,1695,66743.000000,4163507.000000
68.000025,0,40574,42365,1705,67743.000000,4266998.000000
69.000025,0,41397,43190,1705,68743.000000,4350883.000000
70.000025,0,42381,44192,1707,69743.000000,4453932.000000
71.000025,0,43377,45189,1710,70743.000000,4559386.000000
72.000025,0,44304,46103,1710,71743.000000,4654177.000000
73.000025,0,45226,47022,1710,72743.000000,4748639.000000
74.000025,0,46149,47968,1710,73743.000000,4843415.000000
75.000025,0,47149,49015,1758,74743.000000,4952571.000000
76.000025,0,48143,50021,1778,75743.000000,5059814.000000
77.000025,0,49114,50999,1778,76743.000000,5159492.000000
78.000025,0,50095,51972,1780,77743.000000,5262212.000000
79.000025,0,51069,52945,1780,78743.000000,5362716.000000
80.000025,0,52059,53951,1780,79743.000000,5466324.000000
81.000025,0,53059,54972,1806,80743.000000,5574502.000000
82.000025,0,54013,55916,1807,81743.000000,5673002.000000
83.000025,0,55002,56928,1820,82743.000000,5777905.000000
84.000025,0,56002,57931,1826,83743.000000,5883014.000000
85.000025,0,57002,58947,1836,84743.000000,5988769.000000
86.000025,0,57989,59930,1841,85743.000000,6092957.000000
87.000025,0,58943,60887,1841,86743.000000,6191446.000000
88.000025,0,59934,61902,1850,87743.000000,6296698.000000
89.000025,0,60905,62871,1876,88743.000000,6399972.000000
90.000025,0,61871,63859,1878,89743.000000,6501341.000000
91.000025,0,62871,64883,1899,90743.000000,6609162.000000
92.000025,0,63842,65845,1909,91743.000000,6710846.000000
93.000025,0,64772,66790,1909,92743.000000,6805631.000000
94.000025,0,65747,67753,1909,93743.000000,6907191.000000
95.000025,0,66670,68674,1909,94743.000000,7001431.000000
96.000025,0,67595,69602,1909,95743.000000,7095971.000000
97.000025,0,68564,70580,1912,96743.000000,7196713.000000
98.000025,0,69538,71557,1912,97743.000000,7297610.000000
99.000025,0,70538,72565,1927,98743.000000,7404957.000000
100.000025,0,71527,73564,1927,99743.000000,7507793.000000
101.000025,0,72527,74594,1951,100743.000000,7616190.000000
102.000025,0,73506,75567,1962,101743.000000,7719601.000000
103.000025,0,74476,76543,1964,102743.000000,7819597.000000
104.000025,0,75475,77550,1966,103743.000000,7924327.000000
105.000025,0,76475,78620,2023,104743.000000,8033220.000000
106.000025,0,77475,79677,2090,105743.000000,8142456.000000
107.000025,0,78475,80694,2112,106743.000000,8251466.000000
108.000025,0,79468,81686,2123,107743.000000,8357621.000000
109.000025,0,80379,82597,2123,108743.000000,8450410.000000
110.000025,0,81352,83607,2138,109743.000000,8552460.000000
111.000025,0,82348,84633,2178,110743.000000,8659334.000000
112.000025,0,83284,85556,2178,111743.000000,8755944.000000
113.000025,0,84093,86351,2178,112743.000000,8838107.000000
114.000025,0,84967,87250,2178,113743.000000,8928017.000000
115.000025,0,85964,88261,2188,114743.000000,9035036.000000
116.000025,0,86964,89280,2212,115743.000000,9143798.000000
117.000025,0,87909,90220,2212,116743.000000,9241382.000000
118.000025,0,88905,91235,2214,117743.000000,9345981.000000
119.000025,0,89901,92219,2221,118743.000000,9451459.000000
120.000025,0,90856,93178,2221,119743.000000,9549741.000000
121.000025,0,91854,94190,2224,120743.000000,9655733.000000
122.000025,0,92854,95223,2260,121743.000000,9764376.000000
123.000025,0,93836,96195,2261,122743.000000,9866911.000000
124.000025,0,94821,97199,2270,123743.000000,9970495.000000
125.000025,0,95821,98207,2279,124743.000000,10077228.000000
126.000025,0,96767,99145,2279,125743.000000,10174963.000000
127.000025,0,97750,100126,2279,126743.000000,10276598.000000
128.000025,0,98718,101091,2279,127743.000000,10377067.000000
129.000025,0,99699,102106,2289,128743.000000,10480227.000000
130.000025,0,100699,103180,2367,129743.000000,10590055.000000
131.000025,0,101690,104158,2371,130743.000000,10693789.000000
132.000025,0,102677,105182,2403,131743.000000,10799414.000000
133.000025,0,103628,106128,2403,132743.000000,10897140.000000
134.000025,0,104601,107105,2403,133743.000000,10997159.000000
135.000025,0,105581,108084,2405,134743.000000,11099447.000000
136.000025,0,106501,109003,2405,135743.000000,11193694.000000
137.000025,0,107483,110000,2405,136743.000000,11295480.000000
138.000025,0,108476,111002,2415,137743.000000,11401126.000000
139.000025,0,109475,112010,2423,138743.000000,11507047.000000
140.000025,0,110475,113019,2443,139743.000000,11615703.000000
141.000025,0,111472,114031,2448,140743.000000,11722193.000000
142.000025,0,112458,115005,2449,141743.000000,11825931.000000
143.000025,0,113452,116014,2454,142743.000000,11932247.000000
144.000025,0,114436,116994,2457,143743.000000,12034768.000000
145.000025,0,115428,117980,2457,144743.000000,12137993.000000
146.000025,0,116360,118913,2457,145743.000000,12232876.000000
147.000025,0,117342,119905,2459,146743.000000,12335537.000000
148.000025,0,118339,120901,2461,147743.000000,12441326.000000
149.000025,0,119338,121934,2485,148743.000000,12548408.000000
150.000025,0,120329,122921,2492,149743.000000,12652950.000000
151.000025,0,121305,123893,2492,150743.000000,12753610.000000
152.000025,0,122276,124868,2492,151743.000000,12853649.000000
153.000025,0,123258,125866,2501,152743.000000,12957022.000000
154.000025,0,124247,126861,2514,153743.000000,13062010.000000
155.000025,0,125243,127865,2514,154743.000000,13166509.000000
156.000025,0,126243,128908,2540,155743.000000,13274771.000000
157.000025,0,127243,130021,2674,156743.000000,13384685.000000
158.001025,0,128168,130929,2674,157744.000000,13479778.000000
159.000025,0,129072,131848,2674,158743.000000,13572581.000000
160.000025,0,130061,132836,2675,159743.000000,13676706.000000
161.000025,0,131020,133794,2675,160743.000000,13775361.000000
162.000025,0,131997,134780,2675,161743.000000,13876391.000000
163.000025,0,132993,135769,2675,162743.000000,13981912.000000
164.000025,0,133988,136776,2679,163743.000000,14087851.000000
165.000025,0,134985,137776,2685,164743.000000,14194028.000000
166.000025,0,135963,138755,2685,165743.000000,14295452.000000
167.000025,0,136963,139780,2712,166743.000000,14404065.000000
