time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.039810,0,14,15,0,455.500000,707.500000
2.003810,0,56,57,0,1419.500000,2830.500000
3.017310,0,127,129,0,2433.000000,6427.000000
4.028310,0,221,237,3,3444.000000,11193.000000
5.000310,0,648,676,8,4416.000000,32927.500000
6.013810,0,969,996,12,5429.500000,49171.500000
7.031810,0,1373,1408,14,6447.500000,69698.500000
8.002810,0,1841,1888,21,7418.500000,93474.500000
9.015810,0,2238,2276,25,8431.500000,113554.000000
10.034310,0,2464,2502,27,9450.000000,124985.500000
11.001810,0,2589,2619,27,10417.500000,131308.000000
12.015810,0,2649,2680,28,11431.500000,134340.500000
13.028810,0,2684,2715,29,12444.500000,136109.500000
14.040810,0,2725,2755,29,13456.500000,138181.000000
15.003310,0,2787,2819,29,14419.000000,141317.500000
16.014810,0,2876,2913,29,15430.500000,145822.000000
17.026810,0,2956,2988,31,16442.500000,149871.500000
18.038810,0,3032,3074,32,17454.500000,153723.500000
19.000810,0,3269,3321,35,18416.500000,165754.000000
20.020310,0,3540,3585,38,19436.000000,179492.500000
21.036310,0,3690,3743,40,20452.000000,187096.500000
22.002310,0,3832,3875,40,21418.000000,194286.000000
23.014310,0,3866,3911,43,22430.000000,196005.000000
24.025810,0,3933,3981,43,23441.500000,199392.500000
25.037310,0,4019,4066,44,24453.000000,203746.000000
26.000310,0,4089,4140,44,25416.000000,207288.000000
27.011810,0,4291,4345,48,26427.500000,217530.500000
28.024810,0,4385,4439,49,27440.500000,222285.000000
29.039310,0,4462,4513,50,28455.000000,226178.000000
30.001810,0,4550,4615,52,29417.500000,230643.000000
31.016310,0,4828,4898,55,30432.000000,244756.500000
32.026810,0,5092,5161,57,31442.500000,258119.000000
33.000310,0,5294,5361,58,32416.000000,268330.000000
34.010810,0,5430,5493,59,33426.500000,275213.000000
35.027310,0,5496,5557,59,34443.000000,278551.000000
36.039310,0,5536,5597,59,35455.000000,280572.500000
37.000810,0,5619,5688,59,36416.500000,284775.000000
38.011810,0,5908,5994,63,37427.500000,299436.500000
39.027810,0,6460,6558,66,38443.500000,327505.000000
40.000310,0,7011,7126,76,39416.000000,355457.500000
41.001810,0,8067,8216,85,40417.500000,409315.500000
42.000310,0,9807,10051,130,41416.000000,501258.500000
43.000310,0,11789,12231,327,42416.000000,610217.000000
44.000310,0,13747,14212,349,43416.000000,713393.500000
45.000310,0,15726,16441,593,44416.000000,822206.500000
46.000310,0,17691,18432,648,45416.000000,927121.500000
47.000310,0,19436,20192,662,46416.000000,1015589.000000
48.000310,0,21391,22275,760,47416.000000,1120635.000000
49.000310,0,23370,24634,1124,48416.000000,1229999.000000
50.000310,0,25319,26763,1357,49416.000000,1335160.500000
51.000810,0,26699,28131,1376,50416.500000,1405014.000000
52.000310,0,27911,29371,1386,51416.000000,1466522.000000
53.000310,0,29567,31062,1405,52416.000000,1550719.500000
54.000310,0,31323,32850,1424,53416.000000,1640030.500000
55.000310,0,33287,35000,1576,54416.000000,1745783.500000
56.000310,0,35266,37546,2137,55416.000000,1855168.500000
57.000310,0,37250,39979,2608,56416.000000,1964632.500000
58.000310,0,39088,41853,2679,57416.000000,2060993.000000
59.000310,0,40766,43557,2700,58416.000000,2146152.500000
60.000310,0,42663,45493,2718,59416.000000,2243719.000000
61.000310,0,44639,47610,2856,60416.000000,2352291.500000
62.000310,0,46602,49591,2893,61416.000000,2456751.500000
63.000310,0,48560,51647,2987,62416.000000,2561440.500000
64.000310,0,50405,53507,3008,63416.000000,2656175.500000
65.000310,0,52308,55444,3031,64416.000000,2753528.000000
66.000310,0,54284,57515,3125,65416.000000,2860818.500000
67.000310,0,56241,59496,3142,66416.000000,2961869.500000
68.000310,0,58217,61508,3183,67416.000000,3068133.000000
69.000310,0,60175,63472,3199,68416.000000,3169528.500000
70.000310,0,62154,65509,3248,69416.000000,3275864.500000
71.000310,0,64102,67474,3264,70416.000000,3377791.500000
72.000310,0,66057,69441,3278,71416.000000,3479646.000000
73.000310,0,68030,71542,3398,72416.000000,3587720.000000
74.000310,0,70010,73542,3423,73416.000000,3693840.500000
75.000310,0,71987,75556,3468,74416.000000,3800482.500000
76.000310,0,73839,77428,3492,75416.000000,3894618.500000
77.000310,0,75810,79421,3508,76416.000000,3998327.500000
78.000310,0,77788,81440,3538,77416.000000,4103209.500000
79.000310,0,79769,83437,3567,78416.000000,4208820.000000
80.000310,0,81688,85371,3584,79416.000000,4306873.000000
81.000310,0,83622,87389,3648,80416.000000,4408681.000000
82.000310,0,85565,89369,3698,81416.000000,4510874.000000
83.000310,0,87498,91328,3717,82416.000000,4610891.500000
84.000310,0,89482,93364,3771,83416.000000,4719452.500000
85.000310,0,91421,95317,3793,84416.000000,4821234.500000
86.000310,0,93407,97337,3824,85416.000000,4928383.000000
87.000310,0,95385,99367,3882,86416.000000,5035505.500000
88.000310,0,97310,101317,3900,87416.000000,5133838.500000
89.000310,0,99289,103350,3951,88416.000000,5240500.000000
90.000310,0,101267,105362,3986,89416.000000,5346361.000000
91.000310,0,103236,107354,4015,90416.000000,5450744.500000
92.000310,0,105215,109352,4036,91416.000000,5554715.000000
93.000310,0,107147,111312,4056,92416.000000,5655179.000000
94.000310,0,109124,113329,4097,93416.000000,5762722.500000
95.000310,0,111110,115376,4152,94416.000000,5871370.000000
96.000310,0,113087,117388,4193,95416.000000,5977636.500000
97.000310,0,115037,119346,4208,96416.000000,6078205.000000
98.000310,0,117002,121336,4225,97416.000000,6179678.000000
99.000310,0,118986,123348,4252,98416.000000,6287498.500000
100.000310,0,120967,125375,4302,99416.000000,6395075.500000
