time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.094449,0,9,11,0,910.000000,909.000000
2.005449,0,25,27,0,1821.000000,2526.000000
3.019449,0,66,71,1,2835.000000,6679.000000
4.032449,0,84,87,1,3848.000000,8497.000000
5.043449,0,97,100,1,4859.000000,9810.000000
6.054449,0,141,150,2,5870.000000,14259.000000
7.069449,0,227,240,2,6885.000000,22983.000000
8.085449,0,310,320,2,7901.000000,31379.000000
9.002449,0,376,383,3,8818.000000,38054.000000
10.016449,0,396,400,3,9832.000000,40075.000000
11.027449,0,410,415,3,10843.000000,41489.000000
12.037449,0,461,475,3,11853.000000,46660.000000
13.054449,0,534,544,5,12870.000000,54046.000000
14.066449,0,555,561,5,13882.000000,56167.000000
15.077449,0,576,584,5,14893.000000,58289.000000
16.090449,0,609,616,6,15906.000000,61623.000000
17.000449,0,628,641,7,16816.000000,63544.000000
18.014449,0,663,673,8,17830.000000,67084.000000
19.025449,0,677,688,8,18841.000000,68498.000000
20.037449,0,714,728,8,19853.000000,72246.000000
21.049449,0,770,786,9,20865.000000,77914.000000
22.065449,0,874,892,9,21881.000000,88445.000000
23.078449,0,972,992,9,22894.000000,98371.000000
24.000449,0,1064,1081,9,23816.000000,107675.000000
25.018449,0,1149,1166,10,24834.000000,116275.000000
26.008449,0,1241,1269,11,25824.000000,125587.000000
27.021449,0,1352,1371,11,26837.000000,136809.000000
28.037449,0,1424,1441,12,27853.000000,144088.000000
29.073449,0,1512,1535,12,28889.000000,153007.000000
30.000449,0,1651,1683,13,29816.000000,167073.000000
31.000449,0,1907,1951,13,30816.000000,193144.000000
32.005449,0,2186,2230,15,31821.000000,221392.000000
33.018449,0,2460,2505,20,32834.000000,249193.000000
34.034449,0,2693,2732,21,33850.000000,272778.000000
35.049449,0,2848,2886,24,34865.000000,288461.000000
36.000449,0,3005,3050,27,35816.000000,304345.000000
37.000449,0,3143,3186,30,36816.000000,318308.000000
38.011449,0,3277,3326,31,37827.000000,331873.000000
39.024449,0,3430,3477,32,38840.000000,347367.000000
40.004449,0,3533,3575,33,39820.000000,357786.000000
41.014449,0,3632,3680,34,40830.000000,367820.000000
42.025449,0,3744,3786,35,41841.000000,379144.000000
43.037449,0,3824,3869,36,42853.000000,387233.000000
44.000449,0,3969,4027,37,43816.000000,401940.000000
45.004449,0,4172,4228,38,44820.000000,422538.000000
46.014449,0,4350,4407,41,45830.000000,440540.000000
47.000449,0,4525,4586,41,46816.000000,458227.000000
48.001449,0,4726,4799,42,47817.000000,478646.000000
49.015449,0,4999,5074,47,48831.000000,506367.000000
50.025449,0,5319,5413,50,49841.000000,538772.000000
51.037449,0,5808,5917,57,50853.000000,588556.000000
52.000449,0,6284,6393,59,51816.000000,636808.000000
53.000449,0,6740,6860,67,52816.000000,683227.000000
54.004449,0,7353,7485,73,53820.000000,745532.000000
55.001449,0,7948,8094,81,54817.000000,805912.000000
56.000449,0,8675,8841,86,55816.000000,879841.000000
57.000449,0,9529,9727,98,56816.000000,967380.000000
58.000449,0,10468,10665,105,57816.000000,1063585.000000
59.000449,0,11432,11660,117,58816.000000,1163606.000000
60.000449,0,12420,12817,260,59816.000000,1271785.000000
61.000449,0,13410,14066,506,60816.000000,1380842.000000
