time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.000877,0,0,0,0,0.000000,0.000000
1.000877,1,49,51,0,864.500000,2481.500000
2.014377,0,12,13,0,223.048447,606.000000
2.014377,1,89,92,0,1651.000000,4505.000000
3.028377,0,44,45,0,730.048462,2222.500000
3.028377,1,146,148,0,2158.000000,7391.000000
4.039877,0,98,99,0,1235.798462,4953.000000
4.039877,1,180,183,0,2663.750000,9110.500000
5.000377,0,127,131,0,1716.048462,6418.000000
5.000377,1,241,245,0,3144.000000,12202.000000
6.017377,0,308,316,0,2224.548340,15583.500000
6.017377,1,303,304,0,3652.500000,15344.000000
7.030377,0,575,587,0,2731.048340,29097.000000
7.030377,1,340,343,0,4159.000000,17213.000000
8.002280,0,702,705,0,3217.000000,35512.500000
8.002280,1,401,403,0,4644.951660,20297.500000
9.009877,0,769,772,0,3720.798340,38906.195312
9.009877,1,473,476,0,5148.750000,23947.500000
10.022377,0,882,888,0,4227.048340,44628.195312
10.022377,1,517,521,0,5655.000000,26170.500000
11.000377,0,1088,1109,0,4716.048340,55135.695312
11.000377,1,590,596,0,6144.000000,29864.500000
12.002377,0,1416,1440,0,5217.048340,71771.195312
12.002377,1,697,701,0,6645.000000,35288.500000
13.015877,0,1787,1807,0,5723.798340,90534.195312
13.015877,1,750,752,0,7151.750000,37971.000000
14.029877,0,2086,2098,0,6230.798340,105651.195312
14.029877,1,785,790,0,7658.750000,39742.500000
15.000377,0,2360,2380,0,6716.048340,119606.195312
15.000377,1,1023,1035,0,8144.000000,51860.000000
16.021377,0,2909,2936,0,7226.548340,147692.687500
16.021377,1,1141,1143,0,8654.500000,57842.000000
17.000377,0,3393,3409,0,7716.048340,172232.187500
17.000377,1,1216,1223,0,9144.000000,61642.000000
18.002877,0,3949,3993,0,8217.298828,200690.687500
18.002877,1,1359,1365,0,9645.250000,68910.500000
19.000377,0,4874,4930,0,8716.048828,248089.187500
19.000377,1,1530,1539,0,10144.000000,77589.000000
20.000377,0,5980,6048,2,9216.048828,305127.187500
20.000377,1,1719,1737,0,10644.000000,87205.000000
21.000377,0,7345,7421,2,9716.048828,375137.687500
21.000377,1,1980,2009,0,11144.000000,100515.500000
22.000377,0,8697,8973,182,10216.048828,449108.687500
