time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.000065,0,43,47,0,512.256104,2173.000000
1.000065,1,20,21,0,354.500000,1010.500000
2.001052,0,120,125,1,1012.750000,6065.500000
2.001052,1,79,80,0,854.993896,3993.500000
3.012552,0,204,208,1,1518.500000,10310.000000
3.012552,1,105,106,0,1360.743896,5306.500000
4.024552,0,285,291,3,2024.500000,14405.500000
4.024552,1,142,143,0,1866.743896,7176.000000
5.038052,0,342,346,3,2531.250000,17284.500000
5.038052,1,217,229,1,2373.493896,10974.000000
6.008065,0,371,376,3,3016.256104,18749.000000
6.008065,1,426,437,4,2858.500000,21608.500000
7.009552,0,402,407,3,3517.000000,20314.500000
7.009552,1,592,607,6,3359.243896,30020.000000
8.000065,0,440,445,3,4012.256104,22234.500000
8.000065,1,944,987,10,3854.500000,48082.000000
9.014565,0,486,491,3,4519.505859,24562.011719
9.014565,1,1594,1642,20,4361.750000,81288.000000
10.000065,0,519,524,3,5012.255859,26249.011719
10.000065,1,2182,2231,23,4854.500000,111270.000000
11.024565,0,561,567,3,5524.505859,28414.511719
11.024565,1,2565,2620,29,5366.750000,130854.000000
12.000065,0,605,610,3,6012.255859,30684.011719
12.000065,1,3200,3281,38,5854.500000,163217.000000
13.009065,0,643,649,3,6516.755859,32625.511719
13.009065,1,4070,4157,47,6359.000000,207634.500000
14.000065,0,711,718,4,7012.255859,36061.511719
14.000065,1,4517,4580,52,6854.500000,230300.500000
15.007565,0,783,790,4,7516.005859,39704.511719
15.007565,1,4681,4743,56,7358.250000,238612.000000
16.020065,0,827,834,5,8022.255859,41966.511719
16.020065,1,5125,5221,57,7864.500000,261368.000000
17.000565,0,884,894,7,8512.505859,44962.511719
17.000565,1,6341,6465,70,8354.750000,324058.500000
18.000065,0,945,956,9,9012.255859,48100.011719
18.000065,1,7797,7969,90,8854.500000,399022.000000
19.000065,0,995,1007,9,9512.255859,50726.511719
19.000065,1,9594,9828,121,9354.500000,492957.500000
20.000065,0,1068,1086,13,10012.255859,54728.011719
20.000065,1,11496,12508,819,9854.500000,597096.500000
21.000065,0,1159,1179,14,10512.255859,59634.511719
21.000065,1,13353,15003,1563,10354.500000,697968.000000
22.001065,0,1309,1338,17,11012.755859,67383.515625
22.001065,1,14685,16326,1572,10855.000000,766076.000000
23.000065,0,1563,1595,19,11512.255859,80428.015625
23.000065,1,15993,17653,1599,11354.500000,833540.500000
24.000065,0,1887,1930,23,12012.255859,97127.515625
