time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.039722,0,11,14,0,118.583336,556.213928
1.039722,1,9,13,0,65.231544,456.000000
1.039722,2,43,51,0,499.190308,2179.641846
1.039722,3,0,0,0,0.000000,0.000000
2.001222,0,44,46,0,388.583344,2224.213867
2.001222,1,84,86,0,335.231537,4265.473145
2.001222,2,192,213,0,769.190308,9758.141602
2.001222,3,40,45,0,151.401123,2039.604492
3.000222,0,83,86,0,638.333313,4193.713867
3.000222,1,133,140,0,584.981567,6806.973145
3.000222,2,860,919,0,1018.940308,43995.140625
3.000222,3,111,112,0,401.151123,5659.104492
4.000222,0,140,144,0,888.333313,7133.713867
4.000222,1,226,231,0,834.981567,11643.973633
4.000222,2,1932,1988,1,1268.940308,99097.140625
4.000222,3,174,179,0,651.151123,8861.104492
5.000222,0,174,175,0,1138.333374,8870.713867
5.000222,1,293,297,0,1084.981567,15072.473633
5.000222,2,3166,3269,15,1518.940308,162704.140625
5.000222,3,251,255,0,901.151123,12845.604492
6.000222,0,209,214,4,1388.333374,10773.213867
6.000222,1,360,369,7,1334.981567,18710.472656
6.000222,2,4959,5424,352,1768.940308,259786.140625
6.000222,3,342,368,18,1151.151123,17803.103516
7.000722,0,248,254,4,1638.458374,12821.713867
7.000722,1,408,418,7,1585.106567,21210.972656
7.000722,2,6563,7029,413,2019.065308,343750.156250
7.000722,3,526,548,19,1401.276123,27507.603516
8.000222,0,296,302,5,1888.333374,15345.213867
8.000222,1,488,498,8,1834.981567,25395.472656
8.000222,2,8121,8656,431,2268.940186,425198.156250
8.000222,3,559,581,19,1651.151123,29204.103516
9.000222,0,327,336,8,2138.333252,17021.214844
9.000222,1,494,503,8,2084.981445,25719.972656
9.000222,2,10015,10743,600,2518.940186,527415.625000
9.000222,3,623,649,23,1901.151123,32650.603516
10.000222,0,329,339,8,2388.333252,17130.214844
10.000222,1,520,534,11,2334.981445,27130.972656
10.000222,2,11953,12882,794,2768.940186,631981.125000
10.000222,3,654,679,24,2151.151123,34335.605469
11.000222,0,386,398,8,2638.333252,20210.714844
11.000222,1,569,588,16,2584.981445,29783.472656
11.000222,2,13789,15027,1141,3018.940186,731422.625000
11.000222,3,693,721,27,2401.151123,36436.605469
12.000222,0,445,455,8,2888.333252,23238.214844
12.000222,1,625,645,17,2834.981445,32643.972656
12.000222,2,15054,16249,1145,3268.940186,796696.625000
12.000222,3,792,833,27,2651.151123,41484.105469
13.013722,0,505,519,8,3141.708252,26279.714844
13.013722,1,676,698,17,3088.356445,35226.472656
13.013722,2,15740,16907,1145,3522.315186,831778.625000
13.013722,3,933,962,27,2904.526123,48616.605469
14.003722,0,554,566,8,3389.208252,28788.714844
14.003722,1,776,798,17,3335.856445,40332.972656
14.003722,2,16197,17364,1145,3769.815186,855069.125000
14.003722,3,967,995,27,3152.026123,50364.105469
15.003222,0,593,604,8,3639.083252,30769.714844
15.003222,1,914,937,17,3585.731445,47348.972656
15.003222,2,16582,17768,1145,4019.690186,874697.125000
15.003222,3,1044,1074,27,3401.901123,54260.605469
16.000222,0,635,648,8,3888.333252,32920.714844
16.000222,1,1088,1123,17,3834.981445,56219.472656
16.000222,2,17181,18353,1145,4268.940430,905268.125000
16.000222,3,1099,1130,27,3651.151123,57063.105469
17.000222,0,760,779,8,4138.333496,39344.214844
17.000222,1,1425,1464,17,4084.981445,73529.476562
17.000222,2,17819,19009,1146,4518.940430,937827.125000
17.000222,3,1152,1180,27,3901.151123,59803.605469
18.000222,0,944,990,28,4388.333496,49114.714844
18.000222,1,1879,1983,65,4334.981445,97612.476562
18.000222,2,18972,20304,1228,4768.940430,998533.125000
18.000222,3,1180,1211,28,4151.150879,61278.105469
19.000222,0,1287,1402,80,4638.333496,67610.710938
19.000222,1,2413,2540,105,4584.981445,126388.476562
19.000222,2,19994,21586,1561,5018.940430,1053602.125000
19.000222,3,1260,1303,41,4401.150879,65588.601562
20.000222,0,1709,1810,80,4888.333496,89112.710938
20.000222,1,2882,3013,105,4834.981445,150287.468750
20.000222,2,20489,22081,1561,5268.940430,1078867.125000
20.000222,3,1300,1343,41,4651.150879,67618.101562
21.000222,0,2104,2207,80,5138.333496,109586.710938
21.000222,1,3289,3414,108,5084.981445,171334.968750
21.000222,2,21378,23013,1570,5518.940430,1125194.625000
21.000222,3,1335,1377,41,4901.150879,69449.101562
22.000222,0,2673,2847,122,5388.333496,140239.218750
22.000222,1,3529,3653,112,5334.981445,184143.468750
22.000222,2,22529,24275,1682,5768.940430,1186885.625000
