time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.000476,0,48,52,0,335.112122,2424.029297
1.000476,1,19,21,0,130.246964,960.500000
1.000476,2,39,48,0,284.376831,1975.529419
1.000476,3,8,10,0,57.987850,405.000000
2.004976,0,187,198,1,586.237122,9453.029297
2.004976,1,51,53,1,381.371979,2587.654541
2.004976,2,205,222,1,535.501831,10393.529297
2.004976,3,62,68,0,309.112854,3134.500000
3.000024,0,376,388,5,834.999268,19015.029297
3.000024,1,151,161,3,630.134094,7671.654297
3.000024,2,406,424,2,784.263977,20580.529297
3.000024,3,308,319,2,557.875000,15598.500000
4.000476,0,501,512,7,1085.112183,25331.029297
4.000476,1,497,531,9,880.246948,25380.654297
4.000476,2,641,652,3,1034.376831,32492.029297
4.000476,3,478,487,5,807.987854,24222.708984
5.009476,0,567,576,7,1337.362183,28665.029297
5.009476,1,955,999,14,1132.496948,48661.656250
5.009476,2,792,807,7,1286.626831,40139.031250
5.009476,3,633,645,7,1060.237793,32083.208984
6.000476,0,599,607,7,1585.112183,30290.029297
6.000476,1,1533,1579,17,1380.246948,78035.156250
6.000476,2,902,910,7,1534.376831,45702.031250
6.000476,3,684,693,7,1307.987793,34688.207031
7.000476,0,632,642,8,1835.112183,31958.529297
7.000476,1,2131,2183,20,1630.246948,108375.156250
7.000476,2,936,944,7,1784.376831,47419.031250
7.000476,3,727,735,7,1557.987793,36860.707031
8.005476,0,661,670,8,2086.362061,33453.031250
8.005476,1,2961,3035,31,1881.496948,150666.656250
8.005476,2,969,978,7,2035.626831,49086.031250
8.005476,3,763,772,8,1809.237793,38715.707031
9.000476,0,686,696,8,2335.112061,34724.531250
9.000476,1,3754,3835,38,2130.247070,190878.156250
9.000476,2,1002,1012,7,2284.376709,50759.531250
9.000476,3,817,828,9,2057.987793,41464.207031
10.000476,0,724,734,8,2585.112061,36669.531250
10.000476,1,4711,4811,47,2380.247070,239607.156250
10.000476,2,1073,1084,8,2534.376709,54399.531250
10.000476,3,877,889,10,2307.987793,44545.707031
11.000476,0,772,783,8,2835.112061,39109.531250
11.000476,1,5731,5836,50,2630.247070,291354.156250
11.000476,2,1142,1154,9,2784.376709,57906.031250
11.000476,3,939,956,11,2557.987793,47687.207031
12.000476,0,823,835,8,3085.112061,41727.031250
12.000476,1,6716,6828,59,2880.247070,341361.656250
12.000476,2,1252,1266,9,3034.376709,63562.031250
12.000476,3,1144,1169,11,2807.987793,58214.207031
13.000476,0,897,907,9,3335.112061,45614.031250
13.000476,1,8016,8217,118,3130.247070,410345.156250
13.000476,2,1434,1466,19,3284.376709,73180.031250
13.000476,3,1369,1415,29,3057.987793,70009.710938
14.000476,0,924,942,16,3585.112061,47107.031250
14.000476,1,9545,10305,618,3380.247070,494320.656250
14.000476,2,1589,1760,152,3534.376709,81747.531250
14.000476,3,1638,1766,106,3307.987793,84873.210938
15.000476,0,958,977,18,3835.112061,48979.531250
15.000476,1,11050,13838,2553,3630.247070,577629.125000
15.000476,2,1781,2030,233,3784.376709,92325.531250
15.000476,3,1890,2112,205,3557.987793,98797.210938
16.000476,0,977,1004,25,4085.112061,50031.531250
16.000476,1,12508,18540,5765,3880.247070,658359.125000
16.000476,2,2017,2345,317,4034.376709,105359.531250
16.000476,3,2152,2558,366,3807.987793,113299.710938
17.000476,0,1004,1038,32,4335.112305,51520.031250
17.000476,1,14042,23584,9255,4130.247070,743228.125000
17.000476,2,2141,2558,409,4284.376953,112218.031250
17.000476,3,2450,3087,611,4057.987793,129772.210938
18.000476,0,1029,1072,41,4585.112305,52906.031250
18.000476,1,15729,28692,12722,4380.247070,836549.625000
18.000476,2,2190,2626,434,4534.376953,114926.031250
18.000476,3,2669,3532,840,4307.987793,141910.703125
19.000476,0,1037,1081,43,4835.112305,53349.531250
19.000476,1,17432,32411,14803,4630.247070,930606.625000
19.000476,2,2196,2634,434,4784.376953,115254.531250
19.000476,3,2932,3978,1027,4557.987793,156455.203125
20.001476,0,1068,1115,44,5085.362305,54978.531250
20.001476,1,19032,34345,15247,4880.497070,1016353.125000
20.001476,2,2236,2673,434,5034.626953,117403.031250
20.001476,3,3173,4243,1054,4808.237793,169399.203125
21.000476,0,1118,1166,45,5335.112305,57524.531250
21.000476,1,19949,35227,15251,5130.247070,1062977.125000
21.000476,2,2283,2724,436,5284.376953,119795.031250
21.000476,3,3447,4515,1058,5057.987793,183298.203125
22.003476,0,1161,1209,45,5585.862305,59700.031250
